departure_time,file_name,journey_pattern_ref,journey_ticket_machine_code,line_ref,operator_ref,service_ref,vehicle_journey_code
16:54:00,404-21-404-_-y05-2_1.xml,JP6,44,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ135
17:10:00,404-21-404-_-y05-2_1.xml,JP1,41,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ136
17:10:00,404-21-404-_-y05-2_1.xml,JP1,41,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ137
17:24:00,404-21-404-_-y05-2_1.xml,JP6,46,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ138
17:24:00,404-21-404-_-y05-2_1.xml,JP6,46,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ139
17:40:00,404-21-404-_-y05-2_1.xml,JP1,43,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ140
17:40:00,404-21-404-_-y05-2_1.xml,JP1,43,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ141
17:54:00,404-21-404-_-y05-2_1.xml,JP6,48,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ142
17:54:00,404-21-404-_-y05-2_1.xml,JP6,48,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ143
18:10:00,404-21-404-_-y05-2_1.xml,JP1,45,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ144
18:10:00,404-21-404-_-y05-2_1.xml,JP1,45,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ145
18:25:00,404-21-404-_-y05-2_1.xml,JP9,50,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ146
18:25:00,404-21-404-_-y05-2_1.xml,JP9,50,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ147
18:40:00,404-21-404-_-y05-2_1.xml,JP1,47,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ148
18:40:00,404-21-404-_-y05-2_1.xml,JP1,47,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ149
18:55:00,404-21-404-_-y05-2_1.xml,JP10,52,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ150
18:55:00,404-21-404-_-y05-2_1.xml,JP10,52,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ151
19:10:00,404-21-404-_-y05-2_1.xml,JP2,49,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ152
19:10:00,404-21-404-_-y05-2_1.xml,JP2,49,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ153
06:25:00,404-21-404-_-y05-2_1.xml,JP15,2,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ154
06:55:00,404-21-404-_-y05-2_1.xml,JP15,4,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ155
07:10:00,404-21-404-_-y05-2_1.xml,JP11,1,ABLO:PK0003436:5:404,CX,PK0003436:5,VJ156
