common_name,file_name,latitude,longitude,stop_id
Coulsdon South,tfl_21-404-_-y05-7.xml,,,490001072M
Coulsdon South,tfl_21-404-_-y05-7.xml,,,490001072P
Coulsdon Town,tfl_21-404-_-y05-7.xml,,,490001253B
Lime Tree Avenue,tfl_21-404-_-y05-7.xml,,,490002174Y
Lime Tree Avenue,tfl_21-404-_-y05-7.xml,,,490002174Z
Tullick Way,tfl_21-404-_-y05-7.xml,,,490002175Z
Tullick Way,tfl_21-404-_-y05-7.xml,,,490002175Y
Salter Close,tfl_21-404-_-y05-7.xml,,,490002176Z
Salter Close,tfl_21-404-_-y05-7.xml,,,490002176Y
Shaftesbury Lane,tfl_21-404-_-y05-7.xml,,,490002177Z
Shaftesbury Lane,tfl_21-404-_-y05-7.xml,,,490002177Y
Crawford Crescent,tfl_21-404-_-y05-7.xml,,,490002178Z
Middle Close,tfl_21-404-_-y05-7.xml,,,490002179Z
Lacey Green / Goodenough Way,tfl_21-404-_-y05-7.xml,,,490002180Z
The Admirals Walk,tfl_21-404-_-y05-7.xml,,,490002181Z
Ellis Road,tfl_21-404-_-y05-7.xml,,,490002182Z
Lacey Green / Ellis Road,tfl_21-404-_-y05-7.xml,,,490002183Z
Tollers Lane / Curling Close,tfl_21-404-_-y05-7.xml,,,490002184Z
Tollers Lane / Drive Road,tfl_21-404-_-y05-7.xml,,,490002185Z
Farthing Way,tfl_21-404-_-y05-7.xml,,,490002189Z
Aldercroft,tfl_21-404-_-y05-7.xml,,,49003176N1
Blueberry Gardens,tfl_21-404-_-y05-7.xml,,,490004116N
Blueberry Gardens,tfl_21-404-_-y05-7.xml,,,490004116S
Byron Avenue (CR5),tfl_21-404-_-y05-7.xml,,,490004667S
Hambledon Road,tfl_21-404-_-y05-7.xml,,,40004410090A
Caterham-on-the-Hill / Tesco,tfl_21-404-_-y05-7.xml,,,40004410091A
Caterham-on-the-Hill / Tesco,tfl_21-404-_-y05-7.xml,,,40004410091B
Taunton Lane (CR5),tfl_21-404-_-y05-7.xml,,,490004859S
Court Road (CR3),tfl_21-404-_-y05-7.xml,,,40004410089B
Coulsdon Common / The Fox,tfl_21-404-_-y05-7.xml,,,490005638N
Coulsdon Common / The Fox,tfl_21-404-_-y05-7.xml,,,490005638S
Coulsdon Court Road,tfl_21-404-_-y05-7.xml,,,490005639N
Coulsdon Court Road,tfl_21-404-_-y05-7.xml,,,490005639S
Coulsdon Library,tfl_21-404-_-y05-7.xml,,,490005637C
Coulsdon Rise,tfl_21-404-_-y05-7.xml,,,490005641N
Coulsdon Rise,tfl_21-404-_-y05-7.xml,,,490005641S
Keston Avenue,tfl_21-404-_-y05-7.xml,,,490005649E
Keston Avenue,tfl_21-404-_-y05-7.xml,,,490005649W
Downs Road,tfl_21-404-_-y05-7.xml,,,490006183H
Hawarden Road,tfl_21-404-_-y05-7.xml,,,40004410093A
Hawarden Road,tfl_21-404-_-y05-7.xml,,,40004410093B
Caterham Drive / Keston Avenue,tfl_21-404-_-y05-7.xml,,,490007931E
Caterham Drive / Keston Avenue,tfl_21-404-_-y05-7.xml,,,490007931W
Waddington Avenue/Homefield Rd,tfl_21-404-_-y05-7.xml,,,490008324S
Waddington Avenue/Homefield Rd,tfl_21-404-_-y05-7.xml,,,490008324N
Lacey Drive,tfl_21-404-_-y05-7.xml,,,490008495E
Lacey Drive,tfl_21-404-_-y05-7.xml,,,490008895W
The Glade / Keston Avenue,tfl_21-404-_-y05-7.xml,,,490008679S
The Glade / Keston Avenue,tfl_21-404-_-y05-7.xml,,,490008679N
Coulsdon Road / Lacey Drive,tfl_21-404-_-y05-7.xml,,,490008895N
Lion Green Road,tfl_21-404-_-y05-7.xml,,,490009202D
Marlpit Lane,tfl_21-404-_-y05-7.xml,,,490009684N
Marlpit Lane,tfl_21-404-_-y05-7.xml,,,490009684S
Nineacres Way,tfl_21-404-_-y05-7.xml,,,490010285E
Nineacres Way,tfl_21-404-_-y05-7.xml,,,490010285W
Old Coulsdon / Tudor Rose,tfl_21-404-_-y05-7.xml,,,490010535N
Old Coulsdon / Tudor Rose,tfl_21-404-_-y05-7.xml,,,490010535S
Coulsdon Wood,tfl_21-404-_-y05-7.xml,,,490011820E
Coulsdon Wood,tfl_21-404-_-y05-7.xml,,,490011820W
Shirley Avenue,tfl_21-404-_-y05-7.xml,,,490012093S
Oasis Academy Byron,tfl_21-404-_-y05-7.xml,,,490012649E
Oasis Academy Byron,tfl_21-404-_-y05-7.xml,,,490012649W
Army Reserve Centre,tfl_21-404-_-y05-7.xml,,,490013199E
The Crossways,tfl_21-404-_-y05-7.xml,,,490013317N
The Crossways,tfl_21-404-_-y05-7.xml,,,490013317S2
The Crossways,tfl_21-404-_-y05-7.xml,,,490015542S1
Windmill Close,tfl_21-404-_-y05-7.xml,,,40004410092A
Caterham Drive /Waddington Ave,tfl_21-404-_-y05-7.xml,,,490014106S2
Caterham Drive /Waddington Ave,tfl_21-404-_-y05-7.xml,,,490014106S1
Homefield Road,tfl_21-404-_-y05-7.xml,,,490014107E
Homefield Road,tfl_21-404-_-y05-7.xml,,,490014107N
Westway Common,tfl_21-404-_-y05-7.xml,,,40004410088B
York Gate,tfl_21-404-_-y05-7.xml,,,40004410038A
The Glade,tfl_21-404-_-y05-7.xml,,,490015305W
The Glade,tfl_21-404-_-y05-7.xml,,,490015305W1
Westway Caterham,tfl_21-404-_-y05-7.xml,,,40004410037A
Oxford Road / Carshalton,tfl_21-407-_-y05-11_HygcEjI.xml,,,490004708W
Church Street Tram Stop,tfl_21-407-_-y05-11_HygcEjI.xml,,,490002023W13
Centrale Tram Stop,tfl_21-407-_-y05-11_HygcEjI.xml,,,490002042C0
St George's Walk / Croydon Town Centre,tfl_21-407-_-y05-11_HygcEjI.xml,,,490005858NX
Biddulph Road,tfl_21-407-_-y05-11_HygcEjI.xml,,,490003117A
Biddulph Road,tfl_21-407-_-y05-11_HygcEjI.xml,,,490003117B
Alton Road,tfl_21-407-_-y05-11_HygcEjI.xml,,,490003281N
Croydon Road / Plough Lane,tfl_21-407-_-y05-11_HygcEjI.xml,,,490003769E
Croydon Road / Plough Lane,tfl_21-407-_-y05-11_HygcEjI.xml,,,490003769W
Beechwood Gardens,tfl_21-407-_-y05-11_HygcEjI.xml,,,40004410110A
Beechwood Gardens,tfl_21-407-_-y05-11_HygcEjI.xml,,,40004410110B
Carshalton Road / Cambridge Road,tfl_21-407-_-y05-11_HygcEjI.xml,,,490004708E
Carshalton High Street,tfl_21-407-_-y05-11_HygcEjI.xml,,,490004821D
Carshalton High Street,tfl_21-407-_-y05-11_HygcEjI.xml,,,490004821E
Caterham Valley,tfl_21-407-_-y05-11_HygcEjI.xml,,,40004410084C
Christchurch Road / Purley Hospital,tfl_21-407-_-y05-11_HygcEjI.xml,,,490005236N
Church Road (SM6),tfl_21-407-_-y05-11_HygcEjI.xml,,,490005289E
Church Road (SM6),tfl_21-407-_-y05-11_HygcEjI.xml,,,490005289W
Coombe Road,tfl_21-407-_-y05-11_HygcEjI.xml,,,490005574V
Coombe Road,tfl_21-407-_-y05-11_HygcEjI.xml,,,490005574S
Court Bushes Road,tfl_21-407-_-y05-11_HygcEjI.xml,,,40004410106C
Croydon Flyover,tfl_21-407-_-y05-11_HygcEjI.xml,,,490005855C15
Croydon Flyover,tfl_21-407-_-y05-11_HygcEjI.xml,,,490005855C1
Devon Close,tfl_21-407-_-y05-11_HygcEjI.xml,,,490006064S
Devon Close,tfl_21-407-_-y05-11_HygcEjI.xml,,,490006064N
Farningham Road (CR3),tfl_21-407-_-y05-11_HygcEjI.xml,,,40004410109A
Farningham Road (CR3),tfl_21-407-_-y05-11_HygcEjI.xml,,,40004410109B
Foxley Hill Road,tfl_21-407-_-y05-11_HygcEjI.xml,,,490006975N
Foxley Hill Road,tfl_21-407-_-y05-11_HygcEjI.xml,,,490006975NB
Garston Lane,tfl_21-407-_-y05-11_HygcEjI.xml,,,490007129S
Garston Lane,tfl_21-407-_-y05-11_HygcEjI.xml,,,490007129N
Haling Park Road,tfl_21-407-_-y05-11_HygcEjI.xml,,,490007670N
Haling Park Road,tfl_21-407-_-y05-11_HygcEjI.xml,,,490007670S
Highfield Road (CR3),tfl_21-407-_-y05-11_HygcEjI.xml,,,40004410111A
Highfield Road (CR3),tfl_21-407-_-y05-11_HygcEjI.xml,,,40004410111B
Hillside Road,tfl_21-407-_-y05-11_HygcEjI.xml,,,40004410115A
Hillside Road,tfl_21-407-_-y05-11_HygcEjI.xml,,,40004410115B
Kenley Treatment Works,tfl_21-407-_-y05-11_HygcEjI.xml,,,490008633E
Kenley Treatment Works,tfl_21-407-_-y05-11_HygcEjI.xml,,,490008633N
Lavington Road,tfl_21-407-_-y05-11_HygcEjI.xml,,,490009010E
Lavington Road,tfl_21-407-_-y05-11_HygcEjI.xml,,,490009010W
Legion House,tfl_21-407-_-y05-11_HygcEjI.xml,,,490009074S
Legion House,tfl_21-407-_-y05-11_HygcEjI.xml,,,490009074N
Lind Road,tfl_21-407-_-y05-11_HygcEjI.xml,,,490009180E1
Lind Road,tfl_21-407-_-y05-11_HygcEjI.xml,,,490009180W1
Rectory Grove,tfl_21-407-_-y05-11_HygcEjI.xml,,,490009410W
Rectory Grove,tfl_21-407-_-y05-11_HygcEjI.xml,,,490014111N
Manor Place,tfl_21-407-_-y05-11_HygcEjI.xml,,,490009575I
Maple Road (CR3),tfl_21-407-_-y05-11_HygcEjI.xml,,,40004410118A
Maple Road (CR3),tfl_21-407-_-y05-11_HygcEjI.xml,,,40004410118B
Marden Lodge School (CR3),tfl_21-407-_-y05-11_HygcEjI.xml,,,40004410112A
Marden Lodge School (CR3),tfl_21-407-_-y05-11_HygcEjI.xml,,,40004410112B
Montpelier Road,tfl_21-407-_-y05-11_HygcEjI.xml,,,490010002N
Montpelier Road,tfl_21-407-_-y05-11_HygcEjI.xml,,,490010002S
Old Barn Lane,tfl_21-407-_-y05-11_HygcEjI.xml,,,40004410119B
Old Barn Lane,tfl_21-407-_-y05-11_HygcEjI.xml,,,40004410119A
Park Street,tfl_21-407-_-y05-11_HygcEjI.xml,,,490010839C3
Pound Street,tfl_21-407-_-y05-11_HygcEjI.xml,,,490011153W
Pound Street,tfl_21-407-_-y05-11_HygcEjI.xml,,,490011153F
Purley / Downlands Precinct,tfl_21-407-_-y05-11_HygcEjI.xml,,,490011259D
Purley / Downlands Precinct,tfl_21-407-_-y05-11_HygcEjI.xml,,,490011259G
Purley High Street / Purley Station,tfl_21-407-_-y05-11_HygcEjI.xml,,,490011274P
Purley Way / Waddon Station,tfl_21-407-_-y05-11_HygcEjI.xml,,,490011275D
Purley Way / Waddon Station,tfl_21-407-_-y05-11_HygcEjI.xml,,,490011275C
Purley Station / Purley High Street,tfl_21-407-_-y05-11_HygcEjI.xml,,,490011270M
Sanderstead Road,tfl_21-407-_-y05-11_HygcEjI.xml,,,490011481N
Sanderstead Road,tfl_21-407-_-y05-11_HygcEjI.xml,,,490011481S
Reeves Corner,tfl_21-407-_-y05-11_HygcEjI.xml,,,490011504W15
Carshalton Road / Ringstead Road,tfl_21-407-_-y05-11_HygcEjI.xml,,,490011585E
Carshalton Road / Ringstead Road,tfl_21-407-_-y05-11_HygcEjI.xml,,,490011585W
Ruskin Road,tfl_21-407-_-y05-11_HygcEjI.xml,,,490011806W11
Ruskin Road,tfl_21-407-_-y05-11_HygcEjI.xml,,,490011806W16
St. Nicholas Centre,tfl_21-407-_-y05-11_HygcEjI.xml,,,490011856W
South Croydon Bus Garage,tfl_21-407-_-y05-11_HygcEjI.xml,,,490012272N
South Croydon Bus Garage,tfl_21-407-_-y05-11_HygcEjI.xml,,,490015442S
St James Road Kenley,tfl_21-407-_-y05-11_HygcEjI.xml,,,490012726S
St James Road Kenley,tfl_21-407-_-y05-11_HygcEjI.xml,,,490012726N
Sunnydene Road,tfl_21-407-_-y05-11_HygcEjI.xml,,,490013020N
Sunnydene Road,tfl_21-407-_-y05-11_HygcEjI.xml,,,490013020S
Sutton / Marshalls Road,tfl_21-407-_-y05-11_HygcEjI.xml,,,490013061D
Sutton Civic Centre,tfl_21-407-_-y05-11_HygcEjI.xml,,,490013064V
Sutton Police Station,tfl_21-407-_-y05-11_HygcEjI.xml,,,490013081K
Sutton Head Post Office,tfl_21-407-_-y05-11_HygcEjI.xml,,,490013082R
Swan & Sugar Loaf,tfl_21-407-_-y05-11_HygcEjI.xml,,,490013100G
Swan & Sugar Loaf,tfl_21-407-_-y05-11_HygcEjI.xml,,,490013100J
Aberdeen Road South Croydon,tfl_21-407-_-y05-11_HygcEjI.xml,,,490013269S
Bourne Court,tfl_21-407-_-y05-11_HygcEjI.xml,,,40004410108A
Bourne Court,tfl_21-407-_-y05-11_HygcEjI.xml,,,40004410108B
The Holt,tfl_21-407-_-y05-11_HygcEjI.xml,,,490013422E
The Holt,tfl_21-407-_-y05-11_HygcEjI.xml,,,490013422W
The Kenley Hotel / Kenley Station,tfl_21-407-_-y05-11_HygcEjI.xml,,,490013437S
The Kenley Hotel / Kenley Station,tfl_21-407-_-y05-11_HygcEjI.xml,,,490013437W
Brighton Road / Purley Downs Road,tfl_21-407-_-y05-11_HygcEjI.xml,,,490013543N
Brighton Road / Purley Downs Road,tfl_21-407-_-y05-11_HygcEjI.xml,,,490013543S
Purley Oaks Station,tfl_21-407-_-y05-11_HygcEjI.xml,,,490013603N
Purley Oaks Station,tfl_21-407-_-y05-11_HygcEjI.xml,,,490013603C
Times Square,tfl_21-407-_-y05-11_HygcEjI.xml,,,490013679J
Upland Road Croydon,tfl_21-407-_-y05-11_HygcEjI.xml,,,490013920N
Upland Road Croydon,tfl_21-407-_-y05-11_HygcEjI.xml,,,490013920S
Vicarage Rd / Wandle Park Tram Stop,tfl_21-407-_-y05-11_HygcEjI.xml,,,490014043A
Vicarage Rd / Wandle Park Tram Stop,tfl_21-407-_-y05-11_HygcEjI.xml,,,490014043B
