vehicle_journey_code,days_of_week,bank_holidays_operation,bank_holidays_non_operation,source_file
VJ75,"Monday,Tuesday,Wednesday,Thursday,Friday",,"ChristmasDay,BoxingDay,GoodFriday,NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",404-21-404-_-y05-2_1.xml
VJ76,"Monday,Tuesday,Wednesday,Thursday,Friday",,"ChristmasDay,BoxingDay,GoodFriday,NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",404-21-404-_-y05-2_1.xml
VJ77,"Monday,Tuesday,Wednesday,Thursday,Friday",,"ChristmasDay,BoxingDay,GoodFriday,NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",404-21-404-_-y05-2_1.xml
VJ78,"Monday,Tuesday,Wednesday,Thursday,Friday",,"ChristmasDay,BoxingDay,GoodFriday,NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",404-21-404-_-y05-2_1.xml
VJ79,"Monday,Tuesday,Wednesday,Thursday,Friday",,"ChristmasDay,BoxingDay,GoodFriday,NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",404-21-404-_-y05-2_1.xml
VJ80,"Monday,Tuesday,Wednesday,Thursday,Friday",,"ChristmasDay,BoxingDay,GoodFriday,NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",404-21-404-_-y05-2_1.xml
VJ81,"Monday,Tuesday,Wednesday,Thursday,Friday",,"ChristmasDay,BoxingDay,GoodFriday,NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",404-21-404-_-y05-2_1.xml
VJ82,"Monday,Tuesday,Wednesday,Thursday,Friday",,"ChristmasDay,BoxingDay,GoodFriday,NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",404-21-404-_-y05-2_1.xml
VJ83,"Monday,Tuesday,Wednesday,Thursday,Friday",,"ChristmasDay,BoxingDay,GoodFriday,NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",404-21-404-_-y05-2_1.xml
VJ84,"Monday,Tuesday,Wednesday,Thursday,Friday",,"ChristmasDay,BoxingDay,GoodFriday,NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",404-21-404-_-y05-2_1.xml
VJ85,"Monday,Tuesday,Wednesday,Thursday,Friday",,"ChristmasDay,BoxingDay,GoodFriday,NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",404-21-404-_-y05-2_1.xml
VJ86,"Monday,Tuesday,Wednesday,Thursday,Friday",,"ChristmasDay,BoxingDay,GoodFriday,NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",404-21-404-_-y05-2_1.xml
VJ87,"Monday,Tuesday,Wednesday,Thursday,Friday",,"ChristmasDay,BoxingDay,GoodFriday,NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",404-21-404-_-y05-2_1.xml
VJ88,"Monday,Tuesday,Wednesday,Thursday,Friday",,"ChristmasDay,BoxingDay,GoodFriday,NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",404-21-404-_-y05-2_1.xml
VJ89,"Monday,Tuesday,Wednesday,Thursday,Friday",,"ChristmasDay,BoxingDay,GoodFriday,NewYearsDay,LateSummerBankHolidayNotScotland,MayDay,EasterMonday,SpringBank,ChristmasDayHoliday,BoxingDayHoliday,NewYearsDayHoliday,ChristmasEve,NewYearsEve",404-21-404-_-y05-2_1.xml
